player_name,youtube_url,image_url,10,20,11,29,23,24,25,26,27,,,,
clint capela,https://www.youtube-nocookie.com/embed/lEhyiTp8xq8?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOdevExN_9lQFDWbTtxnt9LGEg7Zf9P2LVBfswY_tPzkZbKPRmBHC2iXqnIKQ&s,0.631,0.573,0,11.4,11.2,1.1,0.7,1.2,0.7,,,,
julius randle,https://www.youtube-nocookie.com/embed/KXzF0OKBC3Q?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaCCEIZfHGEAYUGkV46nqyAhuHi_mr9hq8V_YUWvnJmnQ3zuz5YA3kOLyiWL4&s,0.452,0.756,2.3,22.9,10,4.7,0.7,0.4,3.1,,,,
cj mccollum,https://www.youtube-nocookie.com/embed/ZS4wXB3Z7Ys?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWXt8LL3gaknXV7UxBpsj7LuNVfuoC0wosEE7gqIp1r2eyxUX-FzBubZd0G8Q&s,0.448,0.732,2.7,20.5,4.2,5.2,1,0.4,2.2,,,,
jakob poeltl,https://www.youtube-nocookie.com/embed/w1ioCBTjtJ8?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKnQekchrltAADdnGFNlsto1lqf205f5dIJ-qkT6860Aek5XH6iTTlgGzOww&s,0.624,0.55,0,13.1,9.3,2.8,0.8,1.4,1.7,,,,
andrew wiggins,https://www.youtube-nocookie.com/embed/bHWIREsyO5A?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSu42DjrnklO2po0S0FtiIT2wL2CDA9J1b_aDgAz1vU4oq_ID8xVpuJgUAdlA&s,0.468,0.629,2.3,17.6,4.8,2.3,1.1,0.7,1.5,,,,
marcus smart,https://www.youtube-nocookie.com/embed/NIZHKmAMn9k?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrW41R0tFn2SHfvMyf_r-4aJ36rkl3WTeYYXD21fSrJcb_p3XXPz5LbjIoXm0&s,0.417,0.777,1.8,11.8,3.5,5.3,1.6,0.3,2.3,,,,
jonas valanciunas,https://www.youtube-nocookie.com/embed/MIdAM4m7ZVs?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYt9c-SFECVOE9JboXIQ3P0ZnjSg-Ef_0CgC5WXi1893Vpsm_c0qpdgjz8uwM&s,0.546,0.82,0.6,14.1,9.9,2,0.4,0.7,2,,,,
miles bridges,https://www.youtube-nocookie.com/embed/qdudxgQeWkc?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStFqsFxxiTDUA2YfCJ_tVHyNrUBVx1SyYPR9p4v5Fo11wt67gJGW_PCTMI6bg&s,0.483,0.801,1.7,17.3,6.1,3.3,0.8,0.7,1.6,,,,
scoot henderson,https://www.youtube-nocookie.com/embed/PCyunNSDQIg?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpheQB8hRqq-TZ6GPExGPqjuBUsbUDZf6UuZzlqavDvdTQ7mMFQJohPktjMw&s,0.442,0.797,1.5,16.4,5.1,5.8,1.1,0.3,3.4,,,,
daniel gafford,https://www.youtube-nocookie.com/embed/XEOCI4T8DqI?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQM6fTD-BEboO7cEb49okctWoinVGZTn4JNU9xgZEqDR3uPyIdRRbxiaK05qw&s,0.712,0.688,0,12.8,7.8,1.4,0.6,1.7,1.4,,,,
d'angelo russell,https://www.youtube-nocookie.com/embed/GF-Icm78Dx0?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQL1zeeMJANPzrZBjTYSPlM_cU2PCnXQmtGH1AD3rNS3wH3q24DU1sIU9a3Aus&s,0.44,0.826,2.6,16.9,3,6.2,0.9,0.4,2.4,,,,
brook lopez,https://www.youtube-nocookie.com/embed/U6UYA_NCXQA?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSR2I5R41vXgdfMV7fY5iG5SrEGizest1bxldtWn51mTHFEMztzPS1E64DGcKU&s,0.517,0.792,1.5,13.5,5.9,1,0.4,2,1.2,,,,
draymond green,https://www.youtube-nocookie.com/embed/RnbnX10Z0CI?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRV39ugauGEXP1PxEHNZ2sFCULi0iPCOsTx3xE00aLuN7Rq2ifsGKwk60jIZQ&s,0.527,0.688,0.5,8.4,7.5,6,1,0.7,3,,,,
cameron johnson,https://www.youtube-nocookie.com/embed/Tis4mV87euM?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSF3_yCzJkKMiVaIZQFtHCrgqI7IhM0pBCtSGpWbAi-Vinog2HShsPWcxXIpA&s,0.464,0.849,3,16.2,5,2,1.3,0.3,0.9,,,,
mitchell robinson,https://www.youtube-nocookie.com/embed/dJf1RtcqSs8?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmL600zAYjSZTj_kjEVvPEwedCSrVeUsADqmwEZuYFY6Ay-c4J4mX6Yoy8ZA&s,0.711,0.485,0,8.3,9.3,0.7,0.9,1.9,0.8,,,,
kyle kuzma,https://www.youtube-nocookie.com/embed/V0ACdZ50SwA?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgdXJEoxeqsxWo9Yy95GgdvyJW0gMKnm8cQHMBBOb_ltR6aZW_aUFNxDuMpr8&s,0.445,0.723,2.6,22.1,8.1,3.8,0.7,0.8,3.2,,,,
tobias harris,https://www.youtube-nocookie.com/embed/okpFGhETAWc?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkJTXdJExWs_l0gbFuNUc2O8VRNCIJpXVNReK8LN5W0dth25Px7JjcFCi9EQ&s,0.49,0.856,1.5,15.2,6,2.8,0.8,0.5,1.3,,,,
markelle fultz,https://www.youtube-nocookie.com/embed/Kq5cLxPVMEk?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNuNJroLXYiGGvuvz6bIjoDpC2Cj-DlXNIggaAEoXmXat9VNR-6kX-YWqihwo&s,0.506,0.79,0.4,14.4,4,6.2,1.5,0.4,2.5,,,,
jaren jackson jr.,https://www.youtube-nocookie.com/embed/wp7_nzYEPEA?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-vF_8C817Y3HlWNUNQ5xsj56SZ7wdbSoRy5z8SRtvZg3uqbmRcO78bPeVKNQ&s,0.479,0.795,1.7,19.6,7.1,1.2,1,2.6,2,,,,
onyeka okongwu,https://www.youtube-nocookie.com/embed/_zMlQFAhOm0?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBMzb0hrvIfMk3ycboezlpvQfki-F0_8z9awx611jzMXrzeQ1UWzFMceCKwkg&s,0.655,0.763,0,11,8,1.2,0.8,1.5,1.2,,,,
wendell carter jr.,https://www.youtube-nocookie.com/embed/KtZB1ZGL7ac?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEjynIVbaw5YlCFdJyl8BPoW6wELK0K4SqYW9sydDcmsJVGLmv24p809648w&s,0.525,0.714,1.3,15.4,8.7,2.2,0.6,0.7,1.9,,,,
de'anthony melton,https://www.youtube-nocookie.com/embed/V_uxd6O7zBw?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl5_ShQPQ2FiEtLGoNmxd9FLiftb5UPJrAL5mFA5FIEb_b584yxpaOVB5BhQ&s,0.427,0.781,2.1,11.3,4.6,2.8,1.7,0.6,1.5,,,,
gary trent jr.,https://www.youtube-nocookie.com/embed/wSIpBW2h5Vg?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQIjsj-PiVE5UFHaOejT58-y_OgI5kQ64xwy2wfT_lpxUv2CijjBmH9gG1sw&s,0.423,0.848,2,12.9,1.9,1.3,1.2,0.2,0.7,,,,
walker kessler,https://www.youtube-nocookie.com/embed/FuqcNtk9peo?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDLJh5rdims8-g6oNjWajkU8qMyU88EgYbkdxY5oEmuyoXXQ9Lt-KYGDaFZw&s,0.72,0.515,0,11.2,10.3,1.1,0.4,2.7,1,,,,
