player_name,image_url
clint capela,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOdevExN_9lQFDWbTtxnt9LGEg7Zf9P2LVBfswY_tPzkZbKPRmBHC2iXqnIKQ&s
julius randle,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaCCEIZfHGEAYUGkV46nqyAhuHi_mr9hq8V_YUWvnJmnQ3zuz5YA3kOLyiWL4&s
cj mccollum,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWXt8LL3gaknXV7UxBpsj7LuNVfuoC0wosEE7gqIp1r2eyxUX-FzBubZd0G8Q&s
jakob poeltl,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKnQekchrltAADdnGFNlsto1lqf205f5dIJ-qkT6860Aek5XH6iTTlgGzOww&s
andrew wiggins,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSu42DjrnklO2po0S0FtiIT2wL2CDA9J1b_aDgAz1vU4oq_ID8xVpuJgUAdlA&s
marcus smart,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrW41R0tFn2SHfvMyf_r-4aJ36rkl3WTeYYXD21fSrJcb_p3XXPz5LbjIoXm0&s
jonas valanciunas,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYt9c-SFECVOE9JboXIQ3P0ZnjSg-Ef_0CgC5WXi1893Vpsm_c0qpdgjz8uwM&s
miles bridges,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStFqsFxxiTDUA2YfCJ_tVHyNrUBVx1SyYPR9p4v5Fo11wt67gJGW_PCTMI6bg&s
scoot henderson,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpheQB8hRqq-TZ6GPExGPqjuBUsbUDZf6UuZzlqavDvdTQ7mMFQJohPktjMw&s
daniel gafford,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQM6fTD-BEboO7cEb49okctWoinVGZTn4JNU9xgZEqDR3uPyIdRRbxiaK05qw&s
d'angelo russell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQL1zeeMJANPzrZBjTYSPlM_cU2PCnXQmtGH1AD3rNS3wH3q24DU1sIU9a3Aus&s
brook lopez,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSR2I5R41vXgdfMV7fY5iG5SrEGizest1bxldtWn51mTHFEMztzPS1E64DGcKU&s
draymond green,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRV39ugauGEXP1PxEHNZ2sFCULi0iPCOsTx3xE00aLuN7Rq2ifsGKwk60jIZQ&s
cameron johnson,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSF3_yCzJkKMiVaIZQFtHCrgqI7IhM0pBCtSGpWbAi-Vinog2HShsPWcxXIpA&s
mitchell robinson,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmL600zAYjSZTj_kjEVvPEwedCSrVeUsADqmwEZuYFY6Ay-c4J4mX6Yoy8ZA&s
kyle kuzma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgdXJEoxeqsxWo9Yy95GgdvyJW0gMKnm8cQHMBBOb_ltR6aZW_aUFNxDuMpr8&s
tobias harris,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkJTXdJExWs_l0gbFuNUc2O8VRNCIJpXVNReK8LN5W0dth25Px7JjcFCi9EQ&s
markelle fultz,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNuNJroLXYiGGvuvz6bIjoDpC2Cj-DlXNIggaAEoXmXat9VNR-6kX-YWqihwo&s
